cell,confidence_interval_excludes_zero,confidence_interval_high,confidence_interval_low,confidence_level,confirmatory_sample_size_pass,desired_direction,direction,eligibility_rule,estimate,final_mean,initial_mean,metric,n_pairs,n_resamples,optimizer,population,rng_seed,standard_deviation,standardized_paired_effect,supports_desired_direction
C16-d16-L2-H1-m4-ffn32,True,-0.003576747372312641,-0.010962585417354375,0.95,True,decrease,negative,all_scheduled,-0.006852399892598744,1.661630320389425e-05,0.006869016195802639,walsh_interaction_energy,12,20000,adamw,all_scheduled,20260815,0.006899877735794744,-0.9931190312330178,True
C16-d16-L2-H1-m4-ffn32,True,1.0210820018236213,0.9332470532487303,0.95,True,increase,positive,all_scheduled,0.980663973139599,0.9998222043116888,0.019158231172089774,walsh_target_coefficient,12,20000,adamw,all_scheduled,20260815,0.08125908324282918,12.068361271183047,True
C16-d16-L2-H1-m4-ffn32,True,-0.8914041763266236,-1.052022517240357,0.95,True,decrease,negative,all_scheduled,-0.9759941482852051,3.500935334462459e-05,0.9760291576385498,walsh_target_error_energy,12,20000,adamw,all_scheduled,20260815,0.14804177241387992,-6.592694294125454,True
C16-d16-L2-H1-m4-ffn32,True,-1.4166595831139,-2.538536500821904,0.95,True,decrease,negative,all_scheduled,-1.9256871504170097,0.00010436151599909256,1.925791511933009,walsh_total_error_energy,12,20000,adamw,all_scheduled,20260815,1.0439610525121432,-1.8445967364233737,True
C16-d16-L2-H1-m4-ffn32,True,-0.11406197174801493,-0.1389459638907283,0.95,True,decrease,negative,function_gate,-0.12762255614992077,0.058251679666379154,0.18587423581629992,attention_mean_distractor_mass,12,20000,adamw,claim_eligible,20260815,0.02327877015593152,-5.482358187097013,True
C16-d16-L2-H1-m4-ffn32,False,0.05748524199589153,-0.04720800016463423,0.95,True,descriptive,positive,function_gate,0.009310661737496654,0.27312014539105195,0.26380948365355533,attention_self_mass,12,20000,adamw,claim_eligible,20260815,0.09727485379430818,0.0957149908154521,False
C16-d16-L2-H1-m4-ffn32,True,0.39360191447970766,0.3531804072230443,0.95,True,increase,positive,function_gate,0.3735569908603793,0.5521248197813596,0.1785678289209803,attention_target_mass,12,20000,adamw,claim_eligible,20260815,0.03754016940049368,9.950860553534604,True
C16-d16-L2-H1-m4-ffn32,True,4.832017837542419,3.654780746693723,0.95,True,increase,positive,function_gate,4.139758228324354,3.958482245604197,-0.18127598272015652,attention_target_over_distractor_log_margin,12,20000,adamw,claim_eligible,20260815,1.1218358144122236,3.6901640820705524,True
C16-d16-L2-H1-m4-ffn32,True,0.4991861979166667,0.46240234375,0.95,True,increase,positive,all_scheduled,0.4816080729166667,1.0,0.5183919270833334,donor_accuracy,12,20000,adamw,claim_eligible,20260815,0.03382356412037737,14.238832761758443,True
C16-d16-L2-H1-m4-ffn32,True,-0.6872556367208216,-1.2695041195940615,0.95,True,decrease,negative,all_scheduled,-0.9496493670653763,5.241400882975237e-05,0.949701781074206,donor_risk,12,20000,adamw,claim_eligible,20260815,0.5426927561426289,-1.7498839929527128,True
C16-d16-L2-H1-m4-ffn32,True,0.1559955384582281,0.07163349154094856,0.95,True,descriptive,positive,function_gate,0.11361609896024068,0.7469780892133713,0.6333619902531306,embedding_coherence,12,20000,adamw,claim_eligible,20260815,0.07822597218153156,1.4524089096212525,False
C16-d16-L2-H1-m4-ffn32,True,-1.6623749961455663,-2.3077878246704735,0.95,True,descriptive,negative,function_gate,-1.9758088986078899,6.1054050127665205,8.08121391137441,embedding_effective_rank,12,20000,adamw,claim_eligible,20260815,0.6001435295910033,-3.2922272776220716,False
C16-d16-L2-H1-m4-ffn32,False,0.004425779770123003,-0.007181819948170679,0.95,True,descriptive,negative,function_and_donor_gate,-0.001207155806658496,0.00011115419272300642,0.0013183099993815024,ffn_branch_signed,12,20000,adamw,claim_eligible,20260815,0.010864179421622619,-0.11111339014301748,False
C16-d16-L2-H1-m4-ffn32,True,0.16098419611031806,0.07828765857654314,0.95,True,increase,positive,function_and_donor_gate,0.11926330688099067,0.38720602728426456,0.2679427204032739,ffn_cancellation_fraction,12,20000,adamw,claim_eligible,20260815,0.07632285035857041,1.5626159966600148,True
C16-d16-L2-H1-m4-ffn32,True,0.207763671875,0.1311014811197917,0.95,True,increase,positive,function_and_donor_gate,0.16560872395833334,0.669189453125,0.5035807291666666,ffn_opposition_rate,12,20000,adamw,claim_eligible,20260815,0.07158150237257598,2.313568707965268,True
C16-d16-L2-H1-m4-ffn32,False,0.0023012805566054286,-0.010889636238202154,0.95,True,descriptive,negative,function_and_donor_gate,-0.0040768407845159045,-8.736858990232577e-05,0.003989472194613579,ffn_skip_signed,12,20000,adamw,claim_eligible,20260815,0.012279035790039028,-0.3320163614005515,False
