cell,confidence_interval_excludes_zero,confidence_interval_high,confidence_interval_low,confirmatory_sample_size_pass,desired_direction,direction,eligibility_rule,estimate,head,layer,metric,module,n_pairs,n_resamples,optimizer,population,rng_seed,standard_deviation,standardized_paired_effect
C16-d16-L2-H1-m4-ffn32,True,-0.13040457046712015,-0.1901328030178168,True,decrease,negative,all_scheduled,-0.16179242073364244,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.0556145990906463,-2.9091717530847756
C16-d16-L2-H1-m4-ffn32,False,0.055275961849838406,-0.12576097045869875,True,descriptive,negative,all_scheduled,-0.03540405351668596,0,0,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.1689643935937897,-0.20953558772744438
C16-d16-L2-H1-m4-ffn32,True,0.6441524972207845,0.35882347893469463,True,increase,positive,all_scheduled,0.5207812911539804,0,0,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.26411876292735537,1.9717693865513783
C16-d16-L2-H1-m4-ffn32,True,5.601302680652588,3.950460659588377,True,increase,positive,all_scheduled,4.872195065642397,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,1.5355694905306507,3.1728912925710056
C16-d16-L2-H1-m4-ffn32,True,-0.13040457046712015,-0.1901328030178168,True,decrease,negative,function_gate,-0.16179242073364244,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.0556145990906463,-2.9091717530847756
C16-d16-L2-H1-m4-ffn32,False,0.055275961849838406,-0.12576097045869875,True,descriptive,negative,function_gate,-0.03540405351668596,0,0,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.1689643935937897,-0.20953558772744438
C16-d16-L2-H1-m4-ffn32,True,0.6441524972207845,0.35882347893469463,True,increase,positive,function_gate,0.5207812911539804,0,0,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.26411876292735537,1.9717693865513783
C16-d16-L2-H1-m4-ffn32,True,5.601302680652588,3.950460659588377,True,increase,positive,function_gate,4.872195065642397,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,1.5355694905306507,3.1728912925710056
C16-d16-L2-H1-m4-ffn32,True,-0.062009176146239055,-0.13036916646330307,True,decrease,negative,all_scheduled,-0.09345269156619906,0,1,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.06380707722896742,-1.4646132627396542
C16-d16-L2-H1-m4-ffn32,False,0.12425806844839811,-0.01788275813062985,True,descriptive,positive,all_scheduled,0.05402537699167927,0,1,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.13192116255827113,0.40952775084752324
C16-d16-L2-H1-m4-ffn32,True,0.37670795715724426,0.1144348856372138,True,increase,positive,all_scheduled,0.22633269056677818,0,1,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.2425725219407281,0.9330516447451618
C16-d16-L2-H1-m4-ffn32,True,5.605694092748063,1.8672558006830515,True,increase,positive,all_scheduled,3.407321391006311,0,1,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,3.5483690698309687,0.9602499976612138
C16-d16-L2-H1-m4-ffn32,True,-0.062009176146239055,-0.13036916646330307,True,decrease,negative,function_gate,-0.09345269156619906,0,1,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.06380707722896742,-1.4646132627396542
C16-d16-L2-H1-m4-ffn32,False,0.12425806844839811,-0.01788275813062985,True,descriptive,positive,function_gate,0.05402537699167927,0,1,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.13192116255827113,0.40952775084752324
C16-d16-L2-H1-m4-ffn32,True,0.37670795715724426,0.1144348856372138,True,increase,positive,function_gate,0.22633269056677818,0,1,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.2425725219407281,0.9330516447451618
C16-d16-L2-H1-m4-ffn32,True,5.605694092748063,1.8672558006830515,True,increase,positive,function_gate,3.407321391006311,0,1,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,3.5483690698309687,0.9602499976612138
C16-d16-L2-H1-m4-ffn32,True,0.17399604320526116,0.05991651304066183,True,increase,positive,all_scheduled,0.11593396216630936,,0,ffn_cancellation_fraction,ffn,12,20000,adamw,all_scheduled,20260815,0.10590739800818738,1.0946729345323625
C16-d16-L2-H1-m4-ffn32,True,0.20687255859374964,0.059407552083333336,True,increase,positive,all_scheduled,0.13460286458333334,,0,ffn_opposition_rate,ffn,12,20000,adamw,all_scheduled,20260815,0.1363363624038975,0.9872851395621908
C16-d16-L2-H1-m4-ffn32,True,0.17399604320526116,0.05991651304066183,True,increase,positive,function_and_donor_gate,0.11593396216630936,,0,ffn_cancellation_fraction,ffn,12,20000,adamw,claim_eligible,20260815,0.10590739800818738,1.0946729345323625
C16-d16-L2-H1-m4-ffn32,True,0.20687255859374964,0.059407552083333336,True,increase,positive,function_and_donor_gate,0.13460286458333334,,0,ffn_opposition_rate,ffn,12,20000,adamw,claim_eligible,20260815,0.1363363624038975,0.9872851395621908
C16-d16-L2-H1-m4-ffn32,True,0.1883130431796113,0.05947268223389986,True,increase,positive,all_scheduled,0.12259265159567197,,1,ffn_cancellation_fraction,ffn,12,20000,adamw,all_scheduled,20260815,0.11908661272104769,1.0294410832125769
C16-d16-L2-H1-m4-ffn32,True,0.2628580729166667,0.13232421875,True,increase,positive,all_scheduled,0.19661458333333334,,1,ffn_opposition_rate,ffn,12,20000,adamw,all_scheduled,20260815,0.12045438492744093,1.63227418787427
C16-d16-L2-H1-m4-ffn32,True,0.1883130431796113,0.05947268223389986,True,increase,positive,function_and_donor_gate,0.12259265159567197,,1,ffn_cancellation_fraction,ffn,12,20000,adamw,claim_eligible,20260815,0.11908661272104769,1.0294410832125769
C16-d16-L2-H1-m4-ffn32,True,0.2628580729166667,0.13232421875,True,increase,positive,function_and_donor_gate,0.19661458333333334,,1,ffn_opposition_rate,ffn,12,20000,adamw,claim_eligible,20260815,0.12045438492744093,1.63227418787427
C16-d16-L2-H1-m4-ffn32,False,0.2197964369008938,-0.04771586321294307,True,decrease,positive,all_scheduled,0.05639339486757914,0,0,ov_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.2646662924707982,0.21307358160768158
C16-d16-L2-H1-m4-ffn32,True,1.5042179253573216,0.6536940207704902,True,increase,positive,all_scheduled,1.1241450561210513,0,0,ov_log_target_over_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.7927478971422836,1.4180359988003703
C16-d16-L2-H1-m4-ffn32,True,2.7671617418527603,1.4939986829956378,True,increase,positive,all_scheduled,2.18033134440581,0,0,ov_target_gain,ov,12,20000,adamw,all_scheduled,20260815,1.1861758179254018,1.8381181874194388
C16-d16-L2-H1-m4-ffn32,False,0.2197964369008938,-0.04771586321294307,True,decrease,positive,function_and_donor_gate,0.05639339486757914,0,0,ov_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.2646662924707982,0.21307358160768158
C16-d16-L2-H1-m4-ffn32,True,1.5042179253573216,0.6536940207704902,True,increase,positive,function_and_donor_gate,1.1241450561210513,0,0,ov_log_target_over_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.7927478971422836,1.4180359988003703
C16-d16-L2-H1-m4-ffn32,True,2.7671617418527603,1.4939986829956378,True,increase,positive,function_and_donor_gate,2.18033134440581,0,0,ov_target_gain,ov,12,20000,adamw,claim_eligible,20260815,1.1861758179254018,1.8381181874194388
C16-d16-L2-H1-m4-ffn32,True,0.09694997010131676,0.002796021476387984,True,decrease,positive,all_scheduled,0.05064221223195394,0,1,ov_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.08768873827716707,0.577522418806891
C16-d16-L2-H1-m4-ffn32,True,0.9326697734106952,0.47957285669787475,True,increase,positive,all_scheduled,0.6952063087373972,0,1,ov_log_target_over_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.4249526283500373,1.6359618987101536
C16-d16-L2-H1-m4-ffn32,True,1.8621934767812485,0.6647814006855091,True,increase,positive,all_scheduled,1.189202904701233,0,1,ov_target_gain,ov,12,20000,adamw,all_scheduled,20260815,1.1329044424471792,1.0496939195793458
C16-d16-L2-H1-m4-ffn32,True,0.09694997010131676,0.002796021476387984,True,decrease,positive,function_and_donor_gate,0.05064221223195394,0,1,ov_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.08768873827716707,0.577522418806891
C16-d16-L2-H1-m4-ffn32,True,0.9326697734106952,0.47957285669787475,True,increase,positive,function_and_donor_gate,0.6952063087373972,0,1,ov_log_target_over_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.4249526283500373,1.6359618987101536
C16-d16-L2-H1-m4-ffn32,True,1.8621934767812485,0.6647814006855091,True,increase,positive,function_and_donor_gate,1.189202904701233,0,1,ov_target_gain,ov,12,20000,adamw,claim_eligible,20260815,1.1329044424471792,1.0496939195793458
C16-d16-L2-H1-m4-ffn32,True,0.06578175139923889,0.024538652226328853,True,increase,positive,all_scheduled,0.044921924670537315,0,0,qk_cancellation_fraction,qk,12,20000,adamw,all_scheduled,20260815,0.038860608902507573,1.1559758310333275
C16-d16-L2-H1-m4-ffn32,True,-0.016177236112676026,-0.03948337996802173,True,descriptive,negative,all_scheduled,-0.027268746718213777,0,0,qk_content_energy,qk,12,20000,adamw,all_scheduled,20260815,0.021542535995181335,-1.265809500065976
C16-d16-L2-H1-m4-ffn32,True,0.08121744791666667,0.032552083333333336,True,increase,positive,all_scheduled,0.0556640625,0,0,qk_opposition_rate,qk,12,20000,adamw,all_scheduled,20260815,0.045122144982948406,1.2336306822522594
C16-d16-L2-H1-m4-ffn32,True,-0.8538362030405553,-1.7505790938933687,True,increase,negative,all_scheduled,-1.3180401468028624,0,0,qk_suppression_log_ratio,qk,12,20000,adamw,all_scheduled,20260815,0.8406072975792053,-1.5679618183170383
C16-d16-L2-H1-m4-ffn32,True,0.06578175139923889,0.024538652226328853,True,increase,positive,function_and_donor_gate,0.044921924670537315,0,0,qk_cancellation_fraction,qk,12,20000,adamw,claim_eligible,20260815,0.038860608902507573,1.1559758310333275
C16-d16-L2-H1-m4-ffn32,True,-0.016177236112676026,-0.03948337996802173,True,descriptive,negative,function_and_donor_gate,-0.027268746718213777,0,0,qk_content_energy,qk,12,20000,adamw,claim_eligible,20260815,0.021542535995181335,-1.265809500065976
C16-d16-L2-H1-m4-ffn32,True,0.08121744791666667,0.032552083333333336,True,increase,positive,function_and_donor_gate,0.0556640625,0,0,qk_opposition_rate,qk,12,20000,adamw,claim_eligible,20260815,0.045122144982948406,1.2336306822522594
C16-d16-L2-H1-m4-ffn32,True,-0.8538362030405553,-1.7505790938933687,True,increase,negative,function_and_donor_gate,-1.3180401468028624,0,0,qk_suppression_log_ratio,qk,12,20000,adamw,claim_eligible,20260815,0.8406072975792053,-1.5679618183170383
C16-d16-L2-H1-m4-ffn32,False,0.005413835930327571,-0.030850435017297662,True,increase,negative,all_scheduled,-0.013260558247566223,0,1,qk_cancellation_fraction,qk,12,20000,adamw,all_scheduled,20260815,0.033876306985574485,-0.3914404912322041
C16-d16-L2-H1-m4-ffn32,True,-0.011632361605220852,-0.01990816871741572,True,descriptive,negative,all_scheduled,-0.015764387701665328,0,1,qk_content_energy,qk,12,20000,adamw,all_scheduled,20260815,0.007695612308572135,-2.048490369519446
C16-d16-L2-H1-m4-ffn32,True,0.08186848958333333,0.026692708333333332,True,increase,positive,all_scheduled,0.054036458333333336,0,1,qk_opposition_rate,qk,12,20000,adamw,all_scheduled,20260815,0.05072886648416257,1.0652013750436033
C16-d16-L2-H1-m4-ffn32,False,0.170827955007553,-0.6258207260165363,True,increase,negative,all_scheduled,-0.17829188580314317,0,1,qk_suppression_log_ratio,qk,12,20000,adamw,all_scheduled,20260815,0.7370621798169821,-0.24189531180044316
C16-d16-L2-H1-m4-ffn32,False,0.005413835930327571,-0.030850435017297662,True,increase,negative,function_and_donor_gate,-0.013260558247566223,0,1,qk_cancellation_fraction,qk,12,20000,adamw,claim_eligible,20260815,0.033876306985574485,-0.3914404912322041
C16-d16-L2-H1-m4-ffn32,True,-0.011632361605220852,-0.01990816871741572,True,descriptive,negative,function_and_donor_gate,-0.015764387701665328,0,1,qk_content_energy,qk,12,20000,adamw,claim_eligible,20260815,0.007695612308572135,-2.048490369519446
C16-d16-L2-H1-m4-ffn32,True,0.08186848958333333,0.026692708333333332,True,increase,positive,function_and_donor_gate,0.054036458333333336,0,1,qk_opposition_rate,qk,12,20000,adamw,claim_eligible,20260815,0.05072886648416257,1.0652013750436033
C16-d16-L2-H1-m4-ffn32,False,0.170827955007553,-0.6258207260165363,True,increase,negative,function_and_donor_gate,-0.17829188580314317,0,1,qk_suppression_log_ratio,qk,12,20000,adamw,claim_eligible,20260815,0.7370621798169821,-0.24189531180044316
C16-d16-L2-H1-m4-ffnnone,True,-0.1639818633431181,-0.20176224440268317,True,decrease,negative,all_scheduled,-0.18413329463995373,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.0347964689776784,-5.291723558447079
C16-d16-L2-H1-m4-ffnnone,False,0.26971148216786484,-0.01858477365846435,True,descriptive,positive,all_scheduled,0.11383996903896332,0,0,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.2688328759852967,0.4234599976722697
C16-d16-L2-H1-m4-ffnnone,True,0.5706935189043482,0.28392695579677824,True,increase,positive,all_scheduled,0.4385599057811002,0,0,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.26831321897899263,1.6345072652400212
C16-d16-L2-H1-m4-ffnnone,True,5.518446000351104,3.6252727851465654,True,increase,positive,all_scheduled,4.638571582579364,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,1.739937677320522,2.6659412248159917
C16-d16-L2-H1-m4-ffnnone,True,-0.1639818633431181,-0.20176224440268317,True,decrease,negative,function_gate,-0.18413329463995373,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.0347964689776784,-5.291723558447079
C16-d16-L2-H1-m4-ffnnone,False,0.26971148216786484,-0.01858477365846435,True,descriptive,positive,function_gate,0.11383996903896332,0,0,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.2688328759852967,0.4234599976722697
C16-d16-L2-H1-m4-ffnnone,True,0.5706935189043482,0.28392695579677824,True,increase,positive,function_gate,0.4385599057811002,0,0,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.26831321897899263,1.6345072652400212
C16-d16-L2-H1-m4-ffnnone,True,5.518446000351104,3.6252727851465654,True,increase,positive,function_gate,4.638571582579364,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,1.739937677320522,2.6659412248159917
C16-d16-L2-H1-m4-ffnnone,True,-0.10063709539244885,-0.1600834970110251,True,decrease,negative,all_scheduled,-0.1301516085707893,0,1,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.055239066784945605,-2.356151472969122
C16-d16-L2-H1-m4-ffnnone,False,0.1592807130577662,-0.008806106758614337,True,descriptive,positive,all_scheduled,0.07953083763519923,0,1,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.1564226438495647,0.5084355799003493
C16-d16-L2-H1-m4-ffnnone,True,0.4305238688985505,0.20499228599170843,True,increase,positive,all_scheduled,0.3109239836533864,0,1,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.21070134006164004,1.4756621080930312
C16-d16-L2-H1-m4-ffnnone,True,5.601708973901499,2.9627471822624405,True,increase,positive,all_scheduled,4.200428648541371,0,1,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,2.456433694021408,1.7099702950519633
C16-d16-L2-H1-m4-ffnnone,True,-0.10063709539244885,-0.1600834970110251,True,decrease,negative,function_gate,-0.1301516085707893,0,1,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.055239066784945605,-2.356151472969122
C16-d16-L2-H1-m4-ffnnone,False,0.1592807130577662,-0.008806106758614337,True,descriptive,positive,function_gate,0.07953083763519923,0,1,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.1564226438495647,0.5084355799003493
C16-d16-L2-H1-m4-ffnnone,True,0.4305238688985505,0.20499228599170843,True,increase,positive,function_gate,0.3109239836533864,0,1,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.21070134006164004,1.4756621080930312
C16-d16-L2-H1-m4-ffnnone,True,5.601708973901499,2.9627471822624405,True,increase,positive,function_gate,4.200428648541371,0,1,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,2.456433694021408,1.7099702950519633
C16-d16-L2-H1-m4-ffnnone,False,0.15847261101007457,-0.006151768813530593,True,decrease,positive,all_scheduled,0.0703091671069463,0,0,ov_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.15071720383065812,0.466497289758267
C16-d16-L2-H1-m4-ffnnone,True,1.2550273200904483,0.46155344576885304,True,increase,positive,all_scheduled,0.8802502103693163,0,0,ov_log_target_over_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.7410680208264911,1.187812974830029
C16-d16-L2-H1-m4-ffnnone,True,2.419233061745761,1.0388454563915732,True,increase,positive,all_scheduled,1.7418336073557537,0,0,ov_target_gain,ov,12,20000,adamw,all_scheduled,20260815,1.2825782024770702,1.3580720489337132
C16-d16-L2-H1-m4-ffnnone,False,0.15847261101007457,-0.006151768813530593,True,decrease,positive,function_and_donor_gate,0.0703091671069463,0,0,ov_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.15071720383065812,0.466497289758267
C16-d16-L2-H1-m4-ffnnone,True,1.2550273200904483,0.46155344576885304,True,increase,positive,function_and_donor_gate,0.8802502103693163,0,0,ov_log_target_over_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.7410680208264911,1.187812974830029
C16-d16-L2-H1-m4-ffnnone,True,2.419233061745761,1.0388454563915732,True,increase,positive,function_and_donor_gate,1.7418336073557537,0,0,ov_target_gain,ov,12,20000,adamw,claim_eligible,20260815,1.2825782024770702,1.3580720489337132
C16-d16-L2-H1-m4-ffnnone,True,0.2601417630910873,0.0823624519010385,True,decrease,positive,all_scheduled,0.16843983034292856,0,1,ov_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.16548337715635872,1.0178655598971516
C16-d16-L2-H1-m4-ffnnone,True,1.3212599495192987,0.9314554896593715,True,increase,positive,all_scheduled,1.1245580192965765,0,1,ov_log_target_over_distractor_gain,ov,12,20000,adamw,all_scheduled,20260815,0.3582689888680328,3.1388650824891897
C16-d16-L2-H1-m4-ffnnone,True,3.2617910075932723,1.72436251056691,True,increase,positive,all_scheduled,2.413786232471466,0,1,ov_target_gain,ov,12,20000,adamw,all_scheduled,20260815,1.4128134911995314,1.7084960240732636
C16-d16-L2-H1-m4-ffnnone,True,0.2601417630910873,0.0823624519010385,True,decrease,positive,function_and_donor_gate,0.16843983034292856,0,1,ov_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.16548337715635872,1.0178655598971516
C16-d16-L2-H1-m4-ffnnone,True,1.3212599495192987,0.9314554896593715,True,increase,positive,function_and_donor_gate,1.1245580192965765,0,1,ov_log_target_over_distractor_gain,ov,12,20000,adamw,claim_eligible,20260815,0.3582689888680328,3.1388650824891897
C16-d16-L2-H1-m4-ffnnone,True,3.2617910075932723,1.72436251056691,True,increase,positive,function_and_donor_gate,2.413786232471466,0,1,ov_target_gain,ov,12,20000,adamw,claim_eligible,20260815,1.4128134911995314,1.7084960240732636
C16-d16-L2-H1-m4-ffnnone,True,0.07682229885831464,0.005031743397315349,True,increase,positive,all_scheduled,0.037107000748316445,0,0,qk_cancellation_fraction,qk,12,20000,adamw,all_scheduled,20260815,0.06739716091432299,0.5505721642412775
C16-d16-L2-H1-m4-ffnnone,True,-0.016851167873912113,-0.06642120733875588,True,descriptive,negative,all_scheduled,-0.03765794488957397,0,0,qk_content_energy,qk,12,20000,adamw,all_scheduled,20260815,0.04555310684672887,-0.8266822505933676
C16-d16-L2-H1-m4-ffnnone,False,0.08529052734374964,-0.0022786458333333335,True,increase,positive,all_scheduled,0.03857421875,0,0,qk_opposition_rate,qk,12,20000,adamw,all_scheduled,20260815,0.08157818012727543,0.4728497091969673
C16-d16-L2-H1-m4-ffnnone,True,-1.0270517914633577,-1.9045808251287477,True,increase,negative,all_scheduled,-1.4670353533389668,0,0,qk_suppression_log_ratio,qk,12,20000,adamw,all_scheduled,20260815,0.8138152901665555,-1.802663787551501
C16-d16-L2-H1-m4-ffnnone,True,0.07682229885831464,0.005031743397315349,True,increase,positive,function_and_donor_gate,0.037107000748316445,0,0,qk_cancellation_fraction,qk,12,20000,adamw,claim_eligible,20260815,0.06739716091432299,0.5505721642412775
C16-d16-L2-H1-m4-ffnnone,True,-0.016851167873912113,-0.06642120733875588,True,descriptive,negative,function_and_donor_gate,-0.03765794488957397,0,0,qk_content_energy,qk,12,20000,adamw,claim_eligible,20260815,0.04555310684672887,-0.8266822505933676
C16-d16-L2-H1-m4-ffnnone,False,0.08529052734374964,-0.0022786458333333335,True,increase,positive,function_and_donor_gate,0.03857421875,0,0,qk_opposition_rate,qk,12,20000,adamw,claim_eligible,20260815,0.08157818012727543,0.4728497091969673
C16-d16-L2-H1-m4-ffnnone,True,-1.0270517914633577,-1.9045808251287477,True,increase,negative,function_and_donor_gate,-1.4670353533389668,0,0,qk_suppression_log_ratio,qk,12,20000,adamw,claim_eligible,20260815,0.8138152901665555,-1.802663787551501
C16-d16-L2-H1-m4-ffnnone,True,0.0721110650648673,0.010478805067638559,True,increase,positive,all_scheduled,0.042169744769732155,0,1,qk_cancellation_fraction,qk,12,20000,adamw,all_scheduled,20260815,0.05695024246372374,0.7404664659082622
C16-d16-L2-H1-m4-ffnnone,True,-0.020360533101794934,-0.04264426515886347,True,descriptive,negative,all_scheduled,-0.029839837640641537,0,1,qk_content_energy,qk,12,20000,adamw,all_scheduled,20260815,0.021040583927539762,-1.4182038741607612
C16-d16-L2-H1-m4-ffnnone,True,0.09928385416666667,0.004390462239583402,True,increase,positive,all_scheduled,0.053059895833333336,0,1,qk_opposition_rate,qk,12,20000,adamw,all_scheduled,20260815,0.08760739296172819,0.6056554594258143
C16-d16-L2-H1-m4-ffnnone,True,-0.09642064000169442,-0.879878162095944,True,increase,negative,all_scheduled,-0.4539439450018108,0,1,qk_suppression_log_ratio,qk,12,20000,adamw,all_scheduled,20260815,0.7307310176499978,-0.6212189356100917
C16-d16-L2-H1-m4-ffnnone,True,0.0721110650648673,0.010478805067638559,True,increase,positive,function_and_donor_gate,0.042169744769732155,0,1,qk_cancellation_fraction,qk,12,20000,adamw,claim_eligible,20260815,0.05695024246372374,0.7404664659082622
C16-d16-L2-H1-m4-ffnnone,True,-0.020360533101794934,-0.04264426515886347,True,descriptive,negative,function_and_donor_gate,-0.029839837640641537,0,1,qk_content_energy,qk,12,20000,adamw,claim_eligible,20260815,0.021040583927539762,-1.4182038741607612
C16-d16-L2-H1-m4-ffnnone,True,0.09928385416666667,0.004390462239583402,True,increase,positive,function_and_donor_gate,0.053059895833333336,0,1,qk_opposition_rate,qk,12,20000,adamw,claim_eligible,20260815,0.08760739296172819,0.6056554594258143
C16-d16-L2-H1-m4-ffnnone,True,-0.09642064000169442,-0.879878162095944,True,increase,negative,function_and_donor_gate,-0.4539439450018108,0,1,qk_suppression_log_ratio,qk,12,20000,adamw,claim_eligible,20260815,0.7307310176499978,-0.6212189356100917
C16-d16-L2-H4-m4-ffn32,True,-0.0482708604928727,-0.13947307633352465,True,decrease,negative,all_scheduled,-0.09259452841555078,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.08463430828467668,-1.0940542942006337
C16-d16-L2-H4-m4-ffn32,False,0.08677538748985776,-0.06868484103276083,True,descriptive,positive,all_scheduled,0.005406503565609455,0,0,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.14540832798687686,0.037181526260981375
C16-d16-L2-H4-m4-ffn32,True,0.4162080829807867,0.13940195902250713,True,increase,positive,all_scheduled,0.27237706693510216,0,0,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.25501231252110196,1.0680937882658639
C16-d16-L2-H4-m4-ffn32,True,3.8506688473590933,1.176604829961434,True,increase,positive,all_scheduled,2.4537560834238925,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,2.4739804307933526,0.9918251789231112
C16-d16-L2-H4-m4-ffn32,True,-0.0482708604928727,-0.13947307633352465,True,decrease,negative,function_gate,-0.09259452841555078,0,0,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.08463430828467668,-1.0940542942006337
C16-d16-L2-H4-m4-ffn32,False,0.08677538748985776,-0.06868484103276083,True,descriptive,positive,function_gate,0.005406503565609455,0,0,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.14540832798687686,0.037181526260981375
C16-d16-L2-H4-m4-ffn32,True,0.4162080829807867,0.13940195902250713,True,increase,positive,function_gate,0.27237706693510216,0,0,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.25501231252110196,1.0680937882658639
C16-d16-L2-H4-m4-ffn32,True,3.8506688473590933,1.176604829961434,True,increase,positive,function_gate,2.4537560834238925,0,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,2.4739804307933526,0.9918251789231112
C16-d16-L2-H4-m4-ffn32,True,-0.07451161079807211,-0.16107654291360327,True,decrease,negative,all_scheduled,-0.12068248353898525,1,0,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.08039762227275966,-1.5010703068997964
C16-d16-L2-H4-m4-ffn32,False,0.13267973785599066,-0.026433200171838197,True,descriptive,positive,all_scheduled,0.06141963228583336,1,0,attention_self_mass,attention,12,20000,adamw,all_scheduled,20260815,0.14788102729008076,0.41533138774694683
C16-d16-L2-H4-m4-ffn32,True,0.41187641195332003,0.19080893822635214,True,increase,positive,all_scheduled,0.30062781274318695,1,0,attention_target_mass,attention,12,20000,adamw,all_scheduled,20260815,0.20540714996220621,1.463570342115651
C16-d16-L2-H4-m4-ffn32,True,4.33724048078681,1.925390132182899,True,increase,positive,all_scheduled,3.123814203776419,1,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,all_scheduled,20260815,2.260438692688229,1.3819504213411866
C16-d16-L2-H4-m4-ffn32,True,-0.07451161079807211,-0.16107654291360327,True,decrease,negative,function_gate,-0.12068248353898525,1,0,attention_mean_distractor_mass,attention,12,20000,adamw,claim_eligible,20260815,0.08039762227275966,-1.5010703068997964
C16-d16-L2-H4-m4-ffn32,False,0.13267973785599066,-0.026433200171838197,True,descriptive,positive,function_gate,0.06141963228583336,1,0,attention_self_mass,attention,12,20000,adamw,claim_eligible,20260815,0.14788102729008076,0.41533138774694683
C16-d16-L2-H4-m4-ffn32,True,0.41187641195332003,0.19080893822635214,True,increase,positive,function_gate,0.30062781274318695,1,0,attention_target_mass,attention,12,20000,adamw,claim_eligible,20260815,0.20540714996220621,1.463570342115651
C16-d16-L2-H4-m4-ffn32,True,4.33724048078681,1.925390132182899,True,increase,positive,function_gate,3.123814203776419,1,0,attention_target_over_distractor_log_margin,attention,12,20000,adamw,claim_eligible,20260815,2.260438692688229,1.3819504213411866
C16-d16-L2-H4-m4-ffn32,True,-0.06617030184715987,-0.1327413795593505,True,decrease,negative,all_scheduled,-0.09897902049124241,2,0,attention_mean_distractor_mass,attention,12,20000,adamw,all_scheduled,20260815,0.061243221475402204,-1.6161628684244909
